session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f8d8c3f10522808a87316f1,5f316eef21591a012b2f07a9,AWAITING REVIEW,2020-10-19 12:53:19.867000,2020-10-19 12:55:26.037000,126.17,18,11,0,100,,366C5978,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Male,Yes
5f8d8c42e37e210909959fac,5f2a9cd9c6a25d2ed46b3181,AWAITING REVIEW,2020-10-19 12:53:22.192000,2020-10-19 12:58:02.459000,280.267,23,43,0,100,,366C5978,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f8d8c464cf70e09173233d2,5f7c5706e7a572044cce1f69,RETURNED,2020-10-19 12:53:26.448000,,2090.46509,20,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f8d8c5568198208a829cd6d,5823405287f6b90001f14290,AWAITING REVIEW,2020-10-19 12:53:41.459000,2020-10-19 12:56:22.675000,161.216,22,63,1,100,,366C5978,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
5f8d8c5bba192d08aa8ebc0d,5f74db5d6e5d2c1152228f52,AWAITING REVIEW,2020-10-19 12:53:47.879000,2020-10-19 12:55:42.524000,114.645,20,16,1,99,,366C5978,United Kingdom,United Kingdom,Other,,English,United Kingdom,Male,Yes
5f8d8c605950200808439664,5ca759bd6bbed400194aeb9a,AWAITING REVIEW,2020-10-19 12:53:55.762000,2020-10-19 12:58:05.619000,249.857,47,305,2,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
5f8d8c66d077b10901fa89ee,5788d88416a091000112be18,AWAITING REVIEW,2020-10-19 12:54:33.414000,2020-10-19 12:58:38.500000,245.086,54,85,0,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f8d8c6768198208a829cd6e,5ec3e7e479409d276787c139,AWAITING REVIEW,2020-10-19 12:54:00.785000,2020-10-19 12:56:04.289000,123.504,19,53,1,100,,366C5978,United Kingdom,United Kingdom,Unemployed (and job seeking),English,"Portuguese, English",United Kingdom,Male,Yes
5f8d8c675d158808a86e6267,5f4cf6a35723050782ee1f54,AWAITING REVIEW,2020-10-19 12:53:59.714000,2020-10-19 12:56:51.656000,171.942,19,30,0,100,,366C5978,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Male,Yes
5f8d8c68d89ea008416411bb,5eedd323bd4b2f20c754a496,AWAITING REVIEW,2020-10-19 12:54:00.121000,2020-10-19 12:56:33.566000,153.445,22,79,1,100,,366C5978,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f8d8c6880b8e008ee13086c,5f19675f002f9a01e273dc57,AWAITING REVIEW,2020-10-19 12:54:04.442000,2020-10-19 12:57:01.791000,177.349,49,54,0,100,,366C5978,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5f8d8c690bc7e20845b8c487,5f5d3a0514f72258dedea6dc,AWAITING REVIEW,2020-10-19 12:54:01.404000,2020-10-19 12:56:20.997000,139.593,19,27,0,100,,366C5978,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,Yes
