56978962eaa915000b8cbc00,0.8
56fad9e4997828000c802706,1
575cb21f395e6f000681230d,1
57619f621ed9140006cdb5fc,0.8
587291591c35f20001955c45,1
58b718c7e38022000152c828,1
58e14a980e54860001ce710a,1
592d7f5bd0003800018f3157,1.62
594907f28fb2140001afd58d,1
596e0bc6780e5c00018522c0,1.16
599973b4336b6b000159e62d,1
5a8708e8000dab00018cac2c,1
5acb466be1099600016ac61d,1.3
5ad4923820bce50001271005,1
5ad59462045cb000015c9960,1
5adde94be2ceee00010fcb4d,1.28
5aeb667c781c260001e542a9,1
5aff33bae55f90000139f664,1
5b2277bb60c40e000103a9fe,1.36
5b61fa06fc736700010454aa,1.18
5b6c992652abef00011e6497,1
5b7b3518b0ef5b0001ba7a74,0.74
5bb71a9a2638cf00015aeb0c,1
5bc6e2b996332b00018fcfce,1
5bc88ebb210b02000116913a,0.88
5bd7261275e58200018b020c,1
5bf3ac9ad382df0001b99c3a,1.14
5bf542ca43a7d80001652b64,1
5bfd6bb2f685500001723141,1.34
5bfefb17e470190001ab7d06,1
5c05c339b3ea3800017ae156,1
5c1fc4eb91305c000171d205,1.08
5c4481b0d706ed00019540cc,1
5c49feff71e01d00019376a6,1
5c5a00f19dd64d00018adbbf,1.26
5c770e63a2b09c0001a821cc,1
5c8188150ab5c10016ea3f47,1
5c8fa6cbf476780017bdd541,1
5c9fac42fd16b8001573cd14,1
5ca6415038d61000014d6350,1
5ca86b3cb55c520017af9d7e,1
5caf7578b7f4d3001cc7c73b,1.18
5cb0325c6a6e3500010a5954,1
5cc19050dfef1a00019523b6,1
5cc1c0120915430001d7f38e,1
5cc3aa67155841001c26c3f3,1.34
5ccb3fb3d322be00155c9fce,1
5ccdd982b11510000184a712,1.34
5ce19c2090d2dc0015f86ca7,1
5ce317ff4c6a04001cbcc43e,1.28
5cf4639d71f19f0018738259,1
5cf9629a395fa60019ba4d37,1
5cfe32e6e9fbdd00019cf719,1
5d02bcfe4f34fa00160c90e7,1.28
5d02c54c24dcfd00165f7012,1.34
5d0691f7041328001b7814e6,1
5d131f87906ece001a15fb92,1
5d1b5bb2e24a990001f3247d,1
5d1f680b4a21e00001818cf2,1
5d209dad84b46c000177a659,0.8
5d3587a13e11900001093ae8,1
5d37763a3cedb40001afecf5,1
5d3bfbebfd9694001a2d0f99,1
5d5407a0b45aff00019815e1,1
