1,0,0,0,2,100,100,100,2,100,90,90,2,69,72,73,2,100,75,76,2,78,74,80,2,89,72,73,2,75,76,78,2,79,80,81,1,6,6,10,2,87,85,87,2,87,89,89,2,71,72,72,2,76,75,77,2,77,76,76,1,30,29,30,2,100,100,100,1,13,14,15,1,29,28,28,2,77,77,77,2,81,81,81,2,82,83,85,2,82,83,84,2,75,75,78,1,27,28,26,1,23,24,26,1,9,12,12,2,75,76,75,2,59,59,58,2,86,87,88,2,64,66,67,2,95,94,96,2,72,73,73,2,80,82,81,2,64,64,64,1,25,27,27,1,17,17,15,2,88,92,88,2,80,80,81,2,93,94,92,2,72,73,74,1,5,4,5,1,11,11,11,2,87,89,87,2,92,92,93,1,25,26,24,2,80,80,81,2,100,90,96,1,20,19,20,2,76,77,78,2,82,82,81,2,81,82,85,1,21,21,19,1,17,19,17,1,11,9,9,1,20,21,21,2,63,65,66,2,90,90,91,2,87,86,87,2,78,79,81,2,95,95,96,2,89,88,88,2,93,94,93,2,87,91,91,2,86,90,87,2,65,70,65,1,15,16,13,1,19,18,18,2,87,88,90,2,79,80,81,2,86,89,86,2,77,79,81,1,10,10,10,2,81,82,82,2,81,81,79,1,28,29,28,1,12,13,11,2,90,92,89,2,89,90,92,1,18,17,18,1,7,7,6,2,77,77,75,2,64,64,69,2,91,94,92,1,25,25,24,2,83,86,87,2,83,81,80,2,68,69,66,2,58,58,57,1,28,27,27,1,23,23,23,2,83,82,85,2,66,67,65,2,90,90,94,2,63,65,66,2,89,88,88,2,67,67,67,1,16,16,14,2,70,73,69,2,70,70,72
1,29,68,41,2,39,64,34,2,79,86,73,2,44,57,64,2,80,27,85,1,28,46,58,2,68,40,58,1,35,29,42,1,35,58,42,2,62,74,76,2,62,40,58,2,67,38,61,1,61,36,76,2,43,58,69,2,45,56,69,2,56,76,69,2,70,87,80,2,64,77,64,2,87,90,74,1,28,21,37,1,39,33,64,2,84,89,75,2,66,65,89,1,26,18,28,2,78,44,79,1,14,7,2,1,29,24,24,2,69,45,78,1,34,75,42,2,35,81,42,2,65,60,75,2,42,86,60,1,74,58,81,1,43,70,80,2,68,62,59,1,40,64,55,1,34,36,65,2,78,85,74,2,65,62,78,2,80,84,73,1,43,72,66,1,21,42,39,1,16,29,12,1,22,32,16,1,16,29,35,2,76,69,84,2,61,84,81,2,65,83,76,2,63,83,65,1,64,85,62,1,24,57,28,2,68,80,72,1,64,77,68,1,62,78,51,1,26,35,21,2,100,86,81,2,68,60,68,1,74,60,73,2,84,75,84,2,58,70,62,1,88,62,75,1,65,77,67,2,66,85,80,1,17,40,25,2,88,72,80,2,67,85,83,1,17,24,12,2,85,75,90,1,21,32,16,2,86,75,87,2,67,80,83,1,26,37,57,2,73,61,64,2,77,75,68,1,62,73,67,2,71,59,80,2,94,88,92,2,98,91,81,2,81,67,83,1,77,80,68,1,73,70,63,2,79,73,88,1,87,76,88,2,67,86,77,1,27,19,31,2,83,70,77,1,35,37,51,2,81,75,90,1,42,28,39,1,42,40,32,2,87,72,80,1,22,35,23,2,80,68,88,1,81,65,83,1,20,37,25,2,100,100,100,1,62,41,57,2,74,87,77,1,45,39,46,2,65,84,73
2,60,63,70,1,51,51,71,1,39,51,51,2,81,82,100,2,51,51,65,2,58,60,71,1,33,51,63,2,61,62,72,1,92,91,100,2,31,51,51,2,73,73,92,1,58,65,71,2,69,69,90,2,51,51,73,2,80,81,100,1,30,32,81,2,92,90,100,1,81,80,98,2,51,51,65,2,58,58,51,1,35,34,51,1,54,52,54,1,51,51,52,2,51,51,51,1,25,34,51,1,92,91,100,1,54,51,73,1,81,73,71,2,82,82,100,2,85,91,100,2,51,51,51,2,100,100,100,2,51,51,88,1,35,29,52,2,33,35,51,2,100,100,100,1,100,100,100,1,32,33,51,1,62,59,92,2,35,40,53,1,51,51,51,1,44,42,62,2,51,51,72,2,84,83,93,1,51,51,51,1,100,100,100,2,100,100,100,2,100,100,100,1,37,41,51,2,73,71,69,2,74,67,68,2,100,100,100,1,100,100,100,1,51,51,51,2,53,51,51,1,84,81,81,2,70,73,74,2,73,64,82,1,37,42,51,2,51,51,51,2,51,51,51,2,100,100,100,1,100,100,100,2,79,71,74,1,51,51,51,2,100,100,100,1,100,100,100,1,72,70,76,2,51,51,51,1,55,53,55,2,63,55,62,2,66,60,65,1,61,58,68,2,70,67,69,1,44,44,45,1,41,44,44,2,66,65,70,2,61,60,61,2,78,77,76,1,94,93,100,2,51,51,51,2,41,40,43,2,91,89,91,2,100,100,100,1,36,41,41,2,51,51,51,2,79,81,100,2,44,42,55,1,51,51,60,2,43,44,71,2,76,74,76,2,51,51,51,2,67,60,73,1,59,61,72,2,100,100,100,2,72,72,74,2,99,100,98,1,51,51,51,2,51,51,51,2,51,51,51
1,15,30,30,2,59,89,70,2,54,100,66,1,58,55,70,1,15,4,21,2,60,63,63,2,59,68,61,2,67,77,73,1,38,44,39,1,35,30,41,2,86,70,76,2,73,66,68,2,99,100,89,2,71,73,67,2,77,76,79,1,41,41,46,2,100,100,100,1,14,11,14,1,35,3,21,2,71,82,69,1,10,0,9,1,28,4,19,2,62,69,63,2,59,62,58,1,42,42,43,1,40,38,45,1,31,26,38,1,25,19,33,1,34,32,40,2,84,100,91,2,61,69,62,2,42,31,44,2,60,73,65,1,34,26,38,2,59,68,61,2,56,65,60,1,39,8,32,2,82,90,82,1,34,27,37,2,76,96,90,1,39,4,29,1,0,0,0,1,8,2,12,2,62,69,64,2,58,64,58,1,4,0,5,2,69,77,68,2,92,100,95,1,31,18,32,2,93,100,91,2,60,66,62,2,61,70,65,1,26,0,24,1,39,31,42,1,40,30,39,1,34,27,35,2,88,96,89,2,57,64,60,2,78,100,76,2,59,70,61,1,31,3,29,2,85,100,85,1,0,0,0,2,65,87,74,1,45,35,43,2,73,86,75,1,16,1,13,2,78,95,80,2,65,66,62,1,38,32,40,2,73,89,76,2,70,78,72,1,6,0,14,2,62,70,62,1,16,2,15,2,54,54,55,1,28,3,26,2,75,86,78,1,41,42,43,1,29,24,32,1,47,6,47,2,60,78,62,2,80,95,85,2,75,90,80,2,54,58,55,1,45,45,46,2,62,71,65,2,55,65,55,2,55,57,57,2,54,57,56,1,32,12,32,2,79,92,82,2,60,72,63,2,55,57,57,2,66,79,72,2,77,86,81,2,96,100,93,1,45,41,45,2,53,51,52,2,57,65,59
1,1,0,3,1,40,50,50,2,90,100,96,2,100,100,100,1,3,0,4,2,97,100,92,2,69,51,68,2,70,51,71,1,2,0,3,1,11,0,10,2,83,90,85,2,86,100,83,2,51,64,54,2,65,65,60,2,91,97,85,2,51,51,51,2,100,100,99,1,0,0,0,1,18,17,23,2,60,51,58,1,31,32,39,1,29,20,30,2,72,85,62,2,89,100,77,2,51,51,51,1,4,0,13,1,19,12,24,1,25,19,30,1,29,0,39,2,95,100,84,2,51,51,51,2,88,100,84,2,71,92,78,1,31,13,35,1,0,0,0,2,72,73,66,1,0,0,0,1,50,37,51,1,18,0,25,2,86,92,77,1,11,0,25,1,9,0,20,1,0,0,0,2,98,100,92,1,35,34,51,1,0,0,0,2,99,100,95,2,97,100,95,1,51,51,51,2,91,97,87,1,19,4,31,2,76,80,66,1,4,0,9,1,0,0,0,1,5,0,8,1,0,0,0,2,100,100,100,2,60,64,55,2,87,100,82,2,69,75,63,2,82,100,73,2,93,100,91,1,0,0,0,2,91,100,85,2,65,72,55,1,0,0,0,2,98,100,96,2,88,100,83,2,93,100,86,2,74,80,61,2,80,89,72,2,66,75,55,1,51,51,51,1,30,16,51,1,12,0,27,1,51,51,51,2,51,51,51,2,95,100,90,2,100,100,94,1,0,0,0,2,94,100,83,2,96,100,90,1,10,0,17,2,92,100,88,1,19,11,28,2,84,94,74,2,73,85,63,1,51,51,51,1,24,0,34,2,70,75,62,1,14,2,31,2,95,100,92,2,100,100,100,2,100,100,100,1,14,0,23,2,100,100,100,2,100,100,100,1,18,2,30,2,73,80,67,2,51,51,51
2,13,0,19,2,86,90,81,2,59,79,54,2,66,91,55,1,53,21,52,2,53,55,55,1,59,19,59,2,42,50,50,1,31,3,41,1,46,13,41,1,51,51,45,2,54,56,41,2,40,55,40,2,55,51,54,2,55,61,52,1,55,47,51,2,81,89,81,1,19,0,19,1,34,14,24,2,55,50,52,1,42,8,35,1,44,5,39,2,82,90,71,2,51,51,55,2,60,81,75,1,19,0,14,1,29,1,31,1,3,0,3,2,71,77,72,2,93,85,81,1,44,35,43,2,65,100,72,2,71,85,60,2,65,61,69,1,50,44,50,2,76,81,66,1,30,25,33,1,40,81,60,1,55,49,50,1,40,81,56,1,20,0,13,1,44,42,45,1,39,34,45,2,80,92,70,2,59,51,55,1,42,31,40,2,98,98,94,2,83,100,95,1,35,0,15,2,60,55,59,1,44,0,40,2,81,92,92,1,1,0,1,1,30,4,29,1,40,48,44,1,8,0,9,2,91,100,98,2,75,100,82,2,81,100,86,1,54,49,51,2,72,100,82,2,87,100,92,1,9,0,3,2,71,71,77,2,55,51,61,1,19,1,29,1,39,0,30,2,55,51,61,2,76,64,82,2,71,54,61,2,81,87,81,1,44,15,41,1,20,0,34,2,71,94,75,1,46,47,48,1,61,49,52,1,44,20,41,2,81,96,75,2,95,98,92,2,75,82,71,2,86,92,81,2,81,93,74,1,40,4,39,2,85,98,90,1,41,0,30,2,82,95,85,2,80,92,81,2,75,92,80,1,31,9,24,2,55,51,52,1,46,49,46,2,59,51,54,2,71,51,61,2,91,98,92,1,57,41,60,1,45,49,45,2,60,66,61,1,40,0,29,2,71,86,61,2,56,51,55
1,51,44,51,2,67,59,66,2,64,59,70,2,47,50,40,1,43,60,38,1,40,57,69,2,61,58,63,2,60,40,65,1,39,57,37,2,60,43,63,2,63,42,57,1,42,51,58,2,59,41,61,2,62,43,66,2,46,57,47,2,58,39,63,2,62,46,57,2,51,40,61,1,44,57,45,1,42,63,56,2,61,42,64,1,42,34,70,1,30,43,60,2,55,45,56,2,40,56,40,1,41,53,64,2,61,36,50,1,39,55,62,2,61,41,51,1,43,38,61,2,59,39,51,1,40,51,58,2,46,59,48,1,38,48,40,2,59,42,63,1,41,61,44,1,42,60,68,2,63,42,58,1,39,51,45,1,44,56,64,2,62,40,51,1,43,35,55,1,36,44,37,1,40,56,63,2,41,63,47,1,42,61,45,2,61,57,44,2,42,65,45,2,64,42,53,1,38,50,56,1,41,62,44,2,68,43,63,1,37,30,65,1,44,40,65,2,66,43,60,1,36,33,26,2,63,44,57,1,41,58,61,1,39,33,44,1,66,38,58,1,50,33,40,1,35,62,43,2,58,39,60,1,38,51,41,2,52,37,59,1,33,41,32,1,44,34,48,2,50,44,59,1,33,43,32,2,60,41,64,1,34,22,37,2,59,44,63,2,56,33,63,1,37,45,38,2,62,53,40,1,35,28,45,2,40,63,43,2,62,57,59,1,39,37,32,1,40,60,45,2,51,44,57,2,61,43,59,1,41,64,56,1,43,35,57,2,46,35,64,2,61,39,61,2,39,56,44,1,42,58,48,2,60,42,60,1,34,62,57,2,43,58,43,1,40,64,58,1,37,43,59,1,59,55,63,1,47,62,60,1,63,45,64,2,46,44,40,2,63,35,53,1,36,58,38,1,40,56,43
1,0,0,0,2,100,100,100,2,70,68,69,2,52,51,51,1,37,40,37,2,74,99,70,1,30,34,26,2,51,100,52,1,29,25,25,2,78,100,82,2,92,100,92,2,89,91,90,2,51,60,51,2,83,72,79,2,95,100,91,1,31,0,35,2,100,100,100,1,9,6,10,1,18,0,23,2,51,51,51,1,18,0,18,1,13,20,14,2,73,100,87,2,85,89,92,2,78,100,79,1,12,0,12,1,22,24,23,1,51,51,51,2,83,100,83,2,93,100,89,1,16,0,15,2,78,100,75,2,73,100,73,2,62,66,62,1,9,0,9,2,77,100,76,1,0,0,0,2,83,100,82,1,31,0,27,2,76,100,76,1,24,0,19,1,13,0,14,1,38,32,33,2,86,100,90,1,31,3,34,1,0,0,0,2,84,100,87,2,87,100,90,1,15,0,14,2,83,100,85,2,69,70,72,2,89,100,92,1,0,0,0,1,20,0,18,1,15,0,17,1,5,0,6,2,94,100,92,2,76,72,78,2,82,100,84,2,56,51,64,2,64,51,70,2,89,100,95,1,8,0,9,2,86,100,89,1,26,0,27,2,73,73,76,1,13,0,16,1,24,0,31,2,64,68,69,2,69,71,72,2,75,100,79,1,31,0,34,1,7,0,8,2,56,51,61,1,28,0,29,1,47,47,46,1,24,0,17,2,89,100,91,2,83,100,83,2,65,64,65,2,77,100,74,2,78,100,75,2,76,100,75,2,78,100,78,1,49,15,19,2,54,51,51,2,67,77,69,2,81,100,80,2,51,51,51,2,70,100,71,1,51,25,40,2,70,70,69,2,75,87,74,2,92,100,92,1,16,0,14,2,80,100,81,2,81,100,83,1,45,46,44,2,58,78,60,1,51,0,50
1,60,50,70,2,76,60,70,2,81,75,64,2,75,50,61,1,70,40,55,2,76,65,71,2,81,61,81,1,65,45,60,1,8,0,15,2,70,91,84,1,29,0,19,2,80,72,65,1,39,24,34,2,81,65,73,2,80,70,76,1,39,45,29,2,95,100,95,1,3,0,6,1,39,9,19,2,66,55,81,1,29,0,23,1,59,0,64,2,91,65,81,2,59,65,49,1,62,33,65,1,29,13,23,1,28,0,29,1,65,9,65,2,85,71,80,2,89,90,78,1,63,0,34,2,81,100,74,1,61,29,61,1,59,9,57,1,39,0,27,2,80,75,87,1,18,0,5,2,81,55,71,1,29,9,23,2,90,67,55,1,7,0,5,1,5,0,10,1,34,10,25,2,72,95,74,1,48,34,35,1,0,0,0,2,92,81,86,2,76,100,86,1,9,0,9,2,66,95,76,1,61,9,55,2,86,82,91,1,0,0,0,1,4,0,3,1,65,36,56,1,25,3,13,2,90,93,93,1,71,41,68,2,71,100,76,2,80,71,79,2,86,95,81,2,91,88,93,1,19,0,11,2,85,90,76,2,86,95,80,1,18,1,5,1,5,0,3,1,40,29,37,2,71,54,65,1,29,40,45,2,82,88,81,1,40,0,33,1,14,0,23,1,60,9,50,1,56,25,55,1,39,32,44,1,29,8,34,2,91,88,92,2,76,55,74,1,19,10,24,2,83,75,65,2,75,71,79,1,60,33,55,1,60,10,55,1,40,9,23,2,80,55,66,2,90,75,81,1,71,19,60,1,45,13,35,2,71,53,52,1,45,24,34,2,76,90,81,1,60,29,55,1,61,30,55,1,55,35,54,1,55,29,52,2,90,71,63,1,40,29,40,1,50,40,55,2,75,56,60
1,10,1,3,2,71,69,83,2,71,63,53,2,67,75,45,2,70,78,78,2,89,72,86,2,85,92,69,1,68,41,70,1,28,18,26,1,19,10,14,1,32,75,21,2,67,81,71,2,62,71,73,2,73,79,73,2,79,87,85,1,68,25,71,2,99,99,99,1,99,98,98,2,76,61,19,2,59,59,59,1,31,20,64,1,17,70,30,2,31,75,28,2,71,80,73,1,22,20,36,1,100,99,98,2,63,74,70,1,13,10,14,2,72,83,77,2,95,93,92,2,51,48,53,2,86,90,87,2,83,85,87,2,76,79,75,1,84,90,85,1,16,12,13,1,0,0,0,1,15,15,66,1,22,15,33,2,63,71,65,2,69,82,83,1,3,3,2,1,26,16,8,2,78,86,86,1,27,14,21,1,0,0,1,2,100,100,100,2,96,96,96,1,37,26,43,2,76,82,60,2,62,75,60,2,98,99,97,1,1,1,1,1,0,0,0,1,27,13,17,1,1,0,1,1,10,4,30,2,54,54,64,2,71,72,79,1,33,36,51,2,70,77,72,2,98,96,94,1,9,4,3,2,77,86,79,2,53,56,65,1,7,0,10,1,0,1,0,1,31,27,46,2,70,71,80,2,72,78,74,2,68,78,74,2,53,66,56,2,53,59,38,1,32,42,37,1,33,16,40,1,44,48,46,1,5,9,6,2,80,86,82,2,99,99,99,2,75,67,66,1,23,17,28,1,19,33,20,1,11,3,12,2,71,66,71,2,70,64,78,1,29,15,27,2,80,93,88,2,73,86,79,1,31,21,23,2,69,80,75,1,22,16,28,2,66,55,47,2,71,82,79,2,100,100,100,2,83,91,86,1,78,18,81,2,62,83,70,1,44,26,23,2,75,82,80,2,76,63,51
